trustor_id,trustee_id
15372,9830
4246,9830
4643,9830
6822,9830
7478,9830
16057,9830
1714,9830
14097,9830
2016,9830
19910,9830
13507,9830
12108,9830
1229,9830
15848,9830
18723,9830
20532,9830
16885,9830
4315,9830
10634,9830
8216,9830
12110,9830
10707,9830
3450,9830
3556,9830
14519,9830
20638,9830
19949,9830
12037,9830
21946,9830
10178,9830
12369,9830
5045,9830
15668,9830
18592,9830
14573,9830
17833,9830
12383,9830
4172,9830
5665,9830
1895,9830
15782,9830
4382,9830
5167,9830
4430,9830
1169,9830
12566,9830
18178,9830
20770,9830
12473,9830
15896,9830
3875,9830
16432,9830
21358,9830
10967,9830
6142,9830
18554,9830
14324,9830
2830,9830
11820,9830
17157,9830
6966,9830
16391,9830
7471,9830
8458,9830
1875,9830
9170,9830
8085,9830
15421,9830
10173,9830
11003,9830
7130,9830
6674,9830
3156,9830
943,9830
4626,9830
19406,9830
11247,9830
18672,9830
9587,9830
5720,9830
3919,9830
8309,9830
556,9830
7148,9830
2423,9830
21132,9830
3255,9830
5492,9830
17789,9830
1129,9830
15453,9830
16657,9830
5506,9830
19485,9830
12731,9830
15203,9830
173,9830
2115,9830
20459,9830
7453,9830
15925,9830
10984,9830
17248,9830
17088,9830
21726,9830
13934,9830
3753,9830
18842,9830
9247,9830
1719,9830
2536,9830
15825,9830
16080,9830
10362,9830
10176,9830
17495,9830
12045,9830
7534,9830
2320,9830
10594,9830
19479,9830
3177,9830
15171,9830
1942,9830
2584,9830
2187,9830
18157,9830
17324,9830
10736,9830
15795,9830
6666,9830
10020,9830
19113,9830
8629,9830
12185,9830
21827,9830
18218,9830
20458,9830
2144,9830
18363,9830
11208,9830
10361,9830
5528,9830
3980,9830
14270,9830
20195,9830
9139,9830
11458,9830
4873,9830
6498,9830
16531,9830
17167,9830
2779,9830
13843,9830
14058,9830
9228,9830
4302,9830
9210,9830
8824,9830
11155,9830
18999,9830
16684,9830
16670,9830
3987,9830
17446,9830
18187,9830
63,9830
10831,9830
19126,9830
12252,9830
5626,9830
16580,9830
16739,9830
3654,9830
327,9830
18750,9830
171,9830
5583,9830
9192,9830
21862,9830
20469,9830
15082,9830
20170,9830
10183,9830
20921,9830
15532,9830
5294,9830
2032,9830
20952,9830
19281,9830
2078,9830
504,9830
8676,9830
20239,9830
11590,9830
14859,9830
14048,9830
14180,9830
14028,9830
12524,9830
7796,9830
16285,9830
19161,9830
20726,9830
20607,9830
10110,9830
10158,9830
1852,9830
9176,9830
15251,9830
4637,9830
3372,9830
21871,9830
13051,9830
16566,9830
14999,9830
3075,9830
11588,9830
19895,9830
16462,9830
2623,9830
16110,9830
10818,9830
16250,9830
321,9830
21732,9830
18483,9830
9186,9830
15558,9830
18714,9830
2484,9830
14609,9830
2924,9830
8881,9830
11641,9830
8594,9830
22122,9830
5018,9830
16367,9830
4111,9830
2265,9830
16316,9830
18795,9830
1526,9830
16689,9830
7238,9830
12934,9830
7964,9830
1175,9830
16090,9830
11853,9830
15858,9830
2718,9830
15293,9830
12613,9830
16743,9830
14643,9830
69,9830
2713,9830
21494,9830
3128,9830
114,9830
14310,9830
13971,9830
906,9830
8429,9830
19190,9830
19428,9830
17532,9830
9569,9830
20829,9830
8889,9830
8414,9830
4819,9830
21225,9830
17492,9830
8224,9830
10606,9830
1375,9830
17043,9830
2424,9830
20642,9830
2351,9830
4736,9830
8467,9830
9358,9830
14009,9830
1455,9830
15871,9830
18929,9830
17603,9830
17313,9830
15864,9830
20127,9830
15549,9830
8286,9830
1710,9830
12716,9830
3040,9830
720,9830
7454,9830
7676,9830
13825,9830
20626,9830
9845,9830
19312,9830
17562,9830
12036,9830
5319,9830
15478,9830
16091,9830
17631,9830
16320,9830
2271,9830
8166,9830
7056,9830
19897,9830
626,9830
12408,9830
15526,9830
11426,9830
8293,9830
21927,9830
9855,9830
12929,9830
8005,9830
17373,9830
4761,9830
15627,9830
18402,9830
13168,9830
1177,9830
10131,9830
4647,9830
1690,9830
13500,9830
5908,9830
10288,9830
13639,9830
13771,9830
11975,9830
2626,9830
10011,9830
17049,9830
14525,9830
8992,9830
19884,9830
8531,9830
14145,9830
11044,9830
19810,9830
16187,9830
9458,9830
14152,9830
2765,9830
5640,9830
6065,9830
11095,9830
6702,9830
1419,9830
11118,9830
5139,9830
9294,9830
19799,9830
11141,9830
12820,9830
16398,9830
20384,9830
2359,9830
9607,9830
9662,9830
19554,9830
1614,9830
6537,9830
855,9830
21833,9830
9070,9830
3784,9830
17191,9830
10901,9830
11060,9830
6976,9830
1488,9830
9496,9830
8506,9830
273,9830
13990,9830
16932,9830
5826,9830
21855,9830
11806,9830
6007,9830
7151,9830
8721,9830
8524,9830
21142,9830
19508,9830
18681,9830
11287,9830
3395,9830
6906,9830
6359,9830
19836,9830
10585,9830
1076,9830
17282,9830
3269,9830
3231,9830
3381,9830
7473,9830
9861,9830
2522,9830
13378,9830
12307,9830
21908,9830
8712,9830
9082,9830
21185,9830
6253,9830
8732,9830
18602,9830
15608,9830
20705,9830
15654,9830
11561,9830
2071,9830
19414,9830
18839,9830
6602,9830
2818,9830
22137,9830
18219,9830
1124,9830
7656,9830
2317,9830
1687,9830
15542,9830
14976,9830
3405,9830
8217,9830
18043,9830
60,9830
19526,9830
4179,9830
17127,9830
16850,9830
6311,9830
17976,9830
5698,9830
19135,9830
20852,9830
7594,9830
10926,9830
21260,9830
2741,9830
17149,9830
20277,9830
5134,9830
1494,9830
21556,9830
9348,9830
8974,9830
11582,9830
2330,9830
5962,9830
16382,9830
18061,9830
19469,9830
9608,9830
18166,9830
7367,9830
1725,9830
12727,9830
1173,9830
3766,9830
21457,9830
17090,9830
4906,9830
21093,9830
4236,9830
20407,9830
3425,9830
7063,9830
7844,9830
15429,9830
380,9830
21072,9830
20257,9830
10768,9830
5728,9830
12130,9830
17199,9830
10959,9830
19102,9830
15749,9830
12477,9830
11735,9830
13342,9830
16760,9830
3071,9830
7283,9830
13663,9830
19854,9830
12168,9830
9148,9830
8134,9830
4218,9830
16121,9830
2134,9830
21472,9830
15001,9830
15649,9830
21533,9830
9221,9830
10079,9830
1486,9830
17200,9830
12367,9830
5456,9830
7349,9830
17141,9830
1999,9830
15123,9830
20364,9830
17252,9830
10136,9830
9207,9830
2925,9830
15684,9830
21116,9830
17749,9830
249,9830
9822,9830
16360,9830
7458,9830
9074,9830
22055,9830
20206,9830
19078,9830
11779,9830
9737,9830
14623,9830
1472,9830
17957,9830
19533,9830
4607,9830
1144,9830
12226,9830
14308,9830
4897,9830
116,9830
4502,9830
8884,9830
12710,9830
13470,9830
12583,9830
15100,9830
18249,9830
7419,9830
13829,9830
1632,9830
19797,9830
6386,9830
3072,9830
16962,9830
21088,9830
754,9830
3378,9830
18260,9830
20151,9830
18322,9830
21309,9830
2217,9830
20189,9830
13432,9830
16744,9830
17911,9830
6468,9830
13590,9830
7581,9830
10680,9830
8187,9830
6826,9830
16302,9830
8319,9830
10913,9830
388,9830
5848,9830
1382,9830
21595,9830
8621,9830
9582,9830
214,9830
13045,9830
14673,9830
19842,9830
19458,9830
18054,9830
15441,9830
7143,9830
21681,9830
12029,9830
17913,9830
7259,9830
2290,9830
18349,9830
3781,9830
9094,9830
5549,9830
